time,relative_time,yaw_angle,target_yaw,error,gyro_rate,motor_cmd,controller_active
1751144608.3204572,5.891528129577637,-9.838379561904414,0.0,9.838379561904414,-88.24705343511451,CW,True
1751144608.3501854,5.9212563037872314,-12.441382086098331,0.0,12.441382086098331,-86.5294961832061,CW,True
1751144608.379721,5.950791835784912,-14.995303031608032,0.0,14.995303031608032,-83.17835114503816,CW,True
1751144608.4072232,5.978294134140015,-17.484974711519754,0.0,17.484974711519754,-83.61346564885496,CW,True
1751144608.4348514,6.005922317504883,-19.776585065120642,0.0,19.776585065120642,-82.51422900763359,CW,True
1751144608.4624043,6.033475160598755,-22.022569226992633,0.0,22.022569226992633,-80.88827480916031,CW,True
1751144608.4915845,6.062655448913574,-24.227734742433654,0.0,24.227734742433654,-79.43789312977098,CW,True
1751144608.521322,6.092392921447754,-26.520257270426836,0.0,26.520257270426836,-77.88827480916031,CW,True
1751144608.5510886,6.122159481048584,-28.808985438222788,0.0,28.808985438222788,-76.30812213740458,CW,True
1751144608.5805752,6.151646137237549,-31.108284555143666,0.0,31.108284555143666,-74.78903816793893,CW,True
1751144608.6080978,6.179168701171875,-33.2896909436594,0.0,33.2896909436594,-73.39209160305343,CW,True
1751144608.6356392,6.20671010017395,-35.290021242527246,0.0,35.290021242527246,-72.0791145038168,CW,True
1751144608.6631444,6.234215259552002,-37.24482176525142,0.0,37.24482176525142,-70.57529770992366,CW,True
1751144608.69229,6.263360977172852,-39.164313826888254,0.0,39.164313826888254,-68.97987786259542,CW,True
1751144608.7221873,6.293258190155029,-41.15833939871138,0.0,41.15833939871138,-69.43025954198473,CW,True
1751144608.7519355,6.3230063915252686,-43.13842396030686,0.0,43.13842396030686,-65.9646106870229,CW,True
1751144608.7815382,6.352609157562256,-45.0737702433896,0.0,45.0737702433896,-64.46842748091603,CW,True
1751144608.809051,6.380121946334839,-46.95397849964518,0.0,46.95397849964518,-63.002778625954186,CW,True
1751144608.8365731,6.407644033432007,-48.66373453541353,0.0,48.66373453541353,-61.52186259541984,CW,True
1751144608.864086,6.43515682220459,-50.333638820342124,0.0,50.333638820342124,-60.239419847328236,CW,True
1751144608.8929553,6.464026212692261,-51.962961582067045,0.0,51.962961582067045,-58.71270229007633,CW,True
1751144608.922743,6.493813991546631,-53.6364770366651,0.0,53.6364770366651,-57.07911450381678,CW,True
1751144608.9525406,6.523611545562744,-55.31339588506682,0.0,55.31339588506682,-55.57529770992365,CW,True
1751144608.9822948,6.553365707397461,-56.946014397540765,0.0,56.946014397540765,-54.01804580152671,CW,True
1751144609.0099053,6.580976247787476,-58.53310865295903,0.0,58.53310865295903,-52.78140458015266,CW,True
1751144609.037419,6.608489990234375,-59.96753357375456,0.0,59.96753357375456,-51.117282442748085,CW,True
1751144609.0649245,6.635995388031006,-61.35225637582937,0.0,61.35225637582937,-51.67453435114503,CW,True
1751144609.0937192,6.664790153503418,-62.698090966173396,0.0,62.698090966173396,-48.36155725190839,CW,True
1751144609.1235826,6.694653511047363,-64.06543262644001,0.0,64.06543262644001,-46.70506870229007,CW,True
1751144609.153333,6.7244038581848145,-65.43402108478514,0.0,65.43402108478514,-45.20125190839694,CW,True
1751144609.18314,6.754210948944092,-66.75455193416185,0.0,66.75455193416185,-43.34629007633587,CW,True
1751144609.2106931,6.781764030456543,-68.04036329240985,0.0,68.04036329240985,-42.239419847328236,CW,True
1751144609.2382028,6.809273719787598,-69.17883515062373,0.0,69.17883515062373,-41.01804580152671,CW,True
1751144609.2657301,6.836801052093506,-70.27980509863522,0.0,70.27980509863522,-39.384458015267164,CW,True
1751144609.294731,6.865801811218262,-71.3496768929136,0.0,71.3496768929136,-37.90354198473282,CW,True
1751144609.3245437,6.8956146240234375,-72.41796882218772,0.0,72.41796882218772,-36.567664122137394,CW,True
1751144609.3542807,6.925351619720459,-73.47498574220464,0.0,73.47498574220464,-34.78140458015266,CW,True
1751144609.3840287,6.955099582672119,-74.48538041251636,0.0,74.48538041251636,-33.247053435114495,CW,True
1751144609.4115338,6.982604742050171,-75.44965558350508,0.0,75.44965558350508,-31.956977099236635,CW,True
1751144609.4390833,7.0101542472839355,-76.2983070110871,0.0,76.2983070110871,-30.506595419847326,CW,True
1751144609.4666188,7.037689685821533,-77.10908221602224,0.0,77.10908221602224,-28.873007633587783,CW,True
1751144609.4953032,7.066374063491821,-77.88420049550845,0.0,77.88420049550845,-27.666900763358775,CW,True
1751144609.5250437,7.096114635467529,-78.64940369522265,0.0,78.64940369522265,-25.90354198473282,CW,True
1751144609.5547729,7.12584376335144,-79.3929529435249,0.0,79.3929529435249,-24.39972519083969,CW,True
1751144609.5846968,7.1557676792144775,-80.09225009080984,0.0,80.09225009080984,-22.804305343511444,CW,True
1751144609.6122189,7.1832897663116455,-80.74644649450254,0.0,80.74644649450254,-21.38445801526717,CW,True
1751144609.6397252,7.210796117782593,-81.36612869989929,0.0,81.36612869989929,-19.972244274809157,CW,True
1751144609.667229,7.23829984664917,-81.89548985020407,0.0,81.89548985020407,-18.529496183206103,CW,True
1751144609.6957788,7.266849756240845,-82.38079088227042,0.0,82.38079088227042,-17.102015267175567,CW,True
1751144609.725523,7.296593904495239,-82.84351670546171,0.0,82.84351670546171,-15.598198473282435,CW,True
1751144609.7552545,7.326325416564941,-83.33968574047056,0.0,83.33968574047056,-14.01041221374045,CW,True
1751144609.7849958,7.356066703796387,-83.72514940159888,0.0,83.72514940159888,-12.277587786259534,CW,True
1751144609.8125105,7.3835813999176025,-84.06297005742164,0.0,84.06297005742164,-8.995145038167932,CW,True
1751144609.8400385,7.411109447479248,-84.34088540157984,0.0,84.34088540157984,-9.38445801526717,CW,True
1751144609.8676958,7.438766717910767,-84.57641851446978,0.0,84.57641851446978,-7.995145038167932,CW,True
1751144609.8962,7.467270851135254,-84.76981505064167,0.0,84.76981505064167,-6.3539236641221315,CW,True
1751144609.925925,7.49699592590332,-84.93160602703499,0.0,84.93160602703499,-4.995145038167932,CW,True
1751144609.9556522,7.526723146438599,-85.05716525256874,0.0,85.05716525256874,-3.7356030534351086,CW,True
1751144609.9853902,7.5564610958099365,-85.14302012584012,0.0,85.14302012584012,-2.2165190839694593,CW,True
1751144610.0129013,7.583972215652466,-85.19507531030636,0.0,85.19507531030636,-1.4455267175572453,CW,True
1751144610.040404,7.611474990844727,-85.2772522748405,0.0,85.2772522748405,-0.521862595419841,CW,True
1751144610.0679293,7.639000177383423,-85.28047814712053,0.0,85.28047814712053,0.23386259541985366,CW,True
1751144610.0963495,7.667420387268066,-85.30849834866525,0.0,85.30849834866525,1.226229007633594,CW,True
1751144610.1261685,7.697239398956299,-85.25208668318561,0.0,85.25208668318561,2.46287022900764,CW,True
1751144610.1560652,7.727136135101318,-85.15554450861336,0.0,85.15554450861336,3.760580152671762,CW,True
1751144610.1858156,7.7568864822387695,-85.02065626554965,0.0,85.02065626554965,5.157526717557259,CW,True
1751144610.2133312,7.784402132034302,-84.85294827714552,0.0,84.85294827714552,6.073557251908403,CW,True
1751144610.2408495,7.811920404434204,-84.66508660815839,0.0,84.66508660815839,7.386534351145045,CW,True
1751144610.2683518,7.839422702789307,-84.44250963385018,0.0,84.44250963385018,8.577374045801532,CW,True
1751144610.296673,7.867743968963623,-84.19590299426476,0.0,84.19590299426476,9.592641221374052,CW,True
1751144610.3264084,7.897479295730591,-83.91481032394785,0.0,83.91481032394785,12.623175572519092,CW,True
1751144610.3562045,7.9272754192352295,-83.57238020421498,0.0,83.57238020421498,11.775847328244282,CW,True
1751144610.3859403,7.9570112228393555,-83.19945177673715,0.0,83.19945177673715,13.081190839694663,CW,True
1751144610.4139707,7.985041618347168,-82.79400846856936,0.0,82.79400846856936,14.126992366412221,CW,True
1751144610.4416473,8.012718200683594,-82.38300013969476,0.0,82.38300013969476,15.233862595419854,CW,True
